soil_color,soil_ph,soil_n,soil_p,temp,rainfall,forecast_temp,forecast_rainfall,crop_type,plant_health,optimal_fertilizer_amount
reddish,7.11,21.0,22.41,34.02,66.09,31.6,165.97,rice,yellowing,119.5
reddish,6.28,46.86,21.38,29.6,176.08,28.01,99.1,corn,healthy,132.19
dark brown,6.02,25.59,49.18,34.64,3.7,28.34,168.56,rice,wilting,101.2
dark brown,6.02,20.32,23.2,28.79,111.79,34.43,160.93,rice,wilting,99.53
light brown,6.04,31.04,17.09,25.59,113.12,28.82,256.25,rice,wilting,96.68
dark brown,6.37,40.94,47.15,34.06,51.93,32.45,207.11,corn,healthy,126.46
light brown,6.72,26.76,25.65,29.71,265.34,31.63,128.97,corn,wilting,142.71
reddish,6.92,39.92,23.57,27.97,243.57,27.86,69.5,wheat,yellowing,112.97
dark brown,6.6,41.83,48.74,34.43,113.24,29.16,11.89,wheat,wilting,104.46
dark brown,6.79,43.07,34.33,28.07,246.87,26.86,71.35,rice,wilting,97.35
dark brown,7.2,20.9,34.39,28.59,258.25,28.56,28.91,corn,yellowing,155.08
dark brown,5.83,13.08,41.11,27.69,187.41,31.4,219.0,wheat,wilting,131.13
dark brown,6.5,32.48,11.0,34.11,103.91,28.56,159.89,corn,yellowing,144.55
dark brown,5.96,49.14,42.08,33.26,10.43,33.34,237.37,wheat,wilting,112.8
dark brown,6.87,44.42,29.72,32.39,291.09,26.44,208.97,corn,healthy,130.65
dark brown,6.29,33.89,15.93,32.29,214.12,33.83,34.92,corn,wilting,141.93
reddish,7.3,14.22,36.8,28.64,44.53,32.59,61.78,wheat,yellowing,131.85
dark brown,5.56,32.73,44.96,34.9,88.23,33.6,262.27,corn,healthy,144.18
reddish,5.69,44.55,19.96,33.6,265.28,32.1,267.58,rice,wilting,109.56
reddish,6.36,41.71,40.57,26.02,297.3,28.08,47.5,wheat,healthy,106.97
reddish,6.26,33.42,15.27,25.95,205.1,26.56,219.67,corn,wilting,142.45
reddish,6.51,23.51,29.68,26.02,61.3,29.47,194.79,corn,healthy,128.89
dark brown,7.25,34.53,22.65,34.39,68.11,27.07,209.48,wheat,healthy,125.94
reddish,6.34,46.01,10.7,28.95,94.6,26.06,131.76,wheat,wilting,102.41
